duration,duration_seconds,start_time,start_station,start_terminal,end_time,end_station,end_terminal,bike_number,rider_type,id
0h 1m 27sec.,87,2012-02-03 19:34:00,11th & Kenyon St NW,31102,2012-02-03 19:36:00,11th & Kenyon St NW,31102,W00208,Registered,108656
0h 20m 13sec.,1213,2012-02-20 16:53:00,L'Enfant Plaza / 7th & C St SW,31218,2012-02-20 17:13:00,Thomas Circle,31241,W01409,Casual,165131
0h 11m 53sec.,713,2012-03-15 13:09:00,16th & U St NW,31229,2012-03-15 13:21:00,New York Ave & 15th St NW,31222,W00763,Registered,266473
0h 7m 58sec.,478,2012-03-05 07:18:00,11th & Kenyon St NW,31102,2012-03-05 07:26:00,16th & U St NW,31229,W00595,Registered,215738
0h 18m 32sec.,1112,2012-01-13 17:46:00,14th & D St NW / Ronald Reagan Building,31231,2012-01-13 18:05:00,20th St & Florida Ave NW,31110,W00133,Registered,38687
0h 7m 55sec.,475,2012-01-10 14:09:00,Columbus Circle / Union Station,31623,2012-01-10 14:17:00,14th & D St SE,31607,W00888,Registered,28073
0h 6m 52sec.,412,2012-02-03 19:10:00,North Capitol St & F St NW,31624,2012-02-03 19:17:00,7th & F St NW / National Portrait Gallery,31232,W01124,Registered,108531
0h 14m 27sec.,867,2012-02-09 17:48:00,4th & D St NW / Judiciary Square,31621,2012-02-09 18:02:00,1st & Rhode Island Ave NW,31506,W00519,Registered,128435
0h 20m 31sec.,1231,2012-01-24 23:22:00,5th St & K St NW,31600,2012-01-24 23:42:00,Park Rd & Holmead Pl NW,31602,W00395,Casual,69497
0h 6m 18sec.,378,2012-03-01 18:03:00,7th & R St NW / Shaw Library,31245,2012-03-01 18:09:00,17th & Rhode Island Ave NW,31239,W01153,Registered,203397
0h 8m 32sec.,512,2012-01-14 16:19:00,Calvert St & Woodley Pl NW,31106,2012-01-14 16:27:00,Connecticut Ave & Newark St NW / Cleveland Park,31305,W00594,Registered,41288
0h 23m 59sec.,1439,2012-02-08 07:10:00,5th & F St NW,31620,2012-02-08 07:34:00,18th & Bell St,31007,W01307,Registered,123346
0h 7m 30sec.,450,2012-02-20 08:46:00,7th & R St NW / Shaw Library,31245,2012-02-20 08:54:00,8th & H St NW,31228,W01400,Registered,163238
0h 7m 51sec.,471,2012-03-11 10:14:00,3000 Connecticut Ave NW / National Zoo,31307,2012-03-11 10:21:00,20th St & Florida Ave NW,31110,W00677,Registered,242282
0h 15m 16sec.,916,2012-03-21 08:32:00,7th & R St NW / Shaw Library,31245,2012-03-21 08:47:00,C & O Canal & Wisconsin Ave NW,31225,W01155,Registered,301666
0h 10m 3sec.,603,2012-02-17 19:09:00,18th & M St NW,31221,2012-02-17 19:19:00,10th & U St NW,31111,W00449,Registered,155290
0h 8m 12sec.,492,2012-03-23 12:16:00,Georgia Ave and Fairmont St NW,31207,2012-03-23 12:24:00,14th & V St NW,31101,W00611,Registered,316286
1h 5m 30sec.,3930,2012-03-23 14:21:00,USDA / 12th & Independence Ave SW,31217,2012-03-23 15:27:00,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,W01226,Casual,317218
0h 11m 58sec.,718,2012-02-23 00:14:00,Georgia & New Hampshire Ave NW,31400,2012-02-23 00:26:00,Florida Ave & R St NW,31503,W01344,Casual,174706
0h 6m 16sec.,376,2012-03-25 16:57:00,Convention Center / 7th & M St NW,31223,2012-03-25 17:03:00,15th & P St NW,31201,W01408,Registered,328678
0h 18m 42sec.,1122,2012-03-21 17:32:00,13th St & New York Ave NW,31227,2012-03-21 17:51:00,Adams Mill & Columbia Rd NW,31104,W00426,Registered,304283
0h 3m 59sec.,239,2012-02-14 14:11:00,14th & D St SE,31607,2012-02-14 14:15:00,Lincoln Park / 13th & East Capitol St NE ,31619,W00793,Registered,142532
0h 10m 52sec.,652,2012-03-12 08:51:00,10th & U St NW,31111,2012-03-12 09:02:00,8th & H St NW,31228,W01231,Registered,247646
1h 7m 39sec.,4059,2012-03-21 18:37:00,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,2012-03-21 19:44:00,20th & O St NW / Dupont South,31234,W00497,Casual,305152
0h 10m 11sec.,611,2012-03-06 12:44:00,14th & V St NW,31101,2012-03-06 12:55:00,17th & K St NW [formerly 17th & L St NW],31213,W00661,Registered,220413
0h 39m 14sec.,2354,2012-03-23 19:01:00,19th St & Constitution Ave NW,31235,2012-03-23 19:40:00,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,W00560,Casual,320360
0h 4m 19sec.,259,2012-03-28 09:23:00,M St & Pennsylvania Ave NW,31246,2012-03-28 09:27:00,21st & M St NW,31212,W00590,Registered,342608
0h 20m 32sec.,1232,2012-03-29 20:40:00,Jefferson Dr & 14th St SW,31247,2012-03-29 21:01:00,13th & D St NE,31622,W01468,Registered,352486
0h 15m 48sec.,948,2012-01-18 12:03:00,Florida Ave & R St NW,31503,2012-01-18 12:18:00,20th St & Florida Ave NW,31110,W00892,Registered,50983
0h 36m 50sec.,2210,2012-03-27 18:57:00,New York Ave & 15th St NW,31222,2012-03-27 19:34:00,New York Ave & 15th St NW,31222,W00522,Casual,340092
0h 39m 29sec.,2369,2012-03-16 10:22:00,Georgetown Harbor / 30th St NW,31215,2012-03-16 11:02:00,10th St & Constitution Ave NW,31219,W00332,Casual,271836
0h 24m 50sec.,1490,2012-03-31 15:13:00,Calvert St & Woodley Pl NW,31106,2012-03-31 15:37:00,7th & F St NW / National Portrait Gallery,31232,W01097,Registered,361942
